Product Name,Product / Color,System (G),System (Citric)
Giant Lush Pud,Giant Lush Pud - Yellow Dot (T),9,3
Giant Lush Pud,Giant Lush Pud - Pink Main (T),86.625,28.88
Giant Lush Pud,Giant Lush Pud - White Main (T),34.125,11.38
Giant Lush Pud,Giant Lush Pud - Pink Main (B),102.395,34.13
Giant Lush Pud,Giant Lush Pud - Blue Dot (B),9,3
Giant Lush Pud,Giant Lush Pud - Yellow Dot (B),18,6
Giant Lush Pud,Giant Lush Pud - Orange Dot (B),9,3
,,,0
Holly Golightly '20,Holly Golightly '20 - Green Main,127,42.33
Holly Golightly '20,Holly Golightly '20 - HOLLY Green,68,22.67
Holly Golightly '20,Holly Golightly '20 - HOLLY Red,2,0.67
Holly Golightly '20,Holly Golightly '20 - Bubble Filling,50,0
,,,0
Jingle Bells '20,Jingle Bells '20 - White Main,118.42,39.47
Jingle Bells '20,Jingle Bells '20 - Red Ribbon,17,5.67
Jingle Bells '20,Jingle Bells '20 - Blue Salt,7.37,0
,,,0
,,,
,,,
,,,
,,,0
Not so secret santa,Not So Secret Santa - White,73,24.33
Not so secret santa,Not So Secret Santa - Red,30,10
,,,0
Polar bear nose,Polar Bear Nose Shower Bomb,48.47,6.3
,,,0
Pop Art,Pop Art - White,109.12,27.28
Pop Art,Pop Art - Red,29.7,9.9
Pop Art,Pop Art - Yellow,33,11
,,,0
Penguin Bomb Bomb BASE,Penguin Bomb Bomb - Blue (T&B),300,100
Penguin Bomb Bomb BASE,Penguin Bomb Bomb - White (B),30,10
Penguin Bomb Bomb BASE,Penguin Bomb Bomb - Yellow (B),7.2,2.4
,,,0
,,,0
Penguin Bomb Bomb TOP,Candy eyes Man in moon,2,0.67
Santa bomb bomb,Santa Bomb Bomb - Red (B),99.75,33.25
Santa bomb bomb,Santa Bomb Bomb - White (B),34.2,11.4
Santa bomb bomb,Santa Top Candy Eyes,2,0.67
Santa bomb bomb,Santa Bomb Bomb - Red (T),69.35,23.12
Santa bomb bomb,Santa Bomb Bomb - White (T),123.5,41.17
Elf bomb bomb,Elf Bomb Bomb - Green (T),53.0765,17.69
Elf bomb bomb,Elf Bomb Bomb - Red (B),31.44375,10.48
Elf bomb bomb,Elf Bomb Bomb - Yellow (T),88.45775,29.49
Elf bomb bomb,Elf Bomb Bomb Candy Eyes,2,0.67
Elf bomb bomb,Elf Bomb Bomb - Green (B),111.88125,37.29
,,,
,,,
,,,0
,,,0
,,,
,,,
,,,
,,,
,,,
Fireball,Fireball - Orange,60,20
Fireball,Fireball - Red,13.86,4.62
Fireball,Fireball - Yellow,68.355,22.79
Santa's Grotto,Santa's Grotto - Blue,82.11,27.37
Santa's Grotto,Santa's Grotto - Gold Salt,6.3,0
Santa's Grotto,Santa's Grotto - Green,94.605,31.54
Santa's Grotto,Santa's Grotto - Pink Salt,4.2,0
Santa's Grotto,Santa's Grotto - White Salt,2.1,0
Santa's Grotto,Santa's Grotto - XL Gold Salt,3.15,0
Rudolph - with tag,Rudolph '19 - Orange,78,26
Rudolph - with tag,Rudolph '19 - Red,11.25,3.75
Chris the camel,Chris The Camel - Blue,33.68,11.23
Chris the camel,Chris The Camel - Pink,3.42,1.14
Chris the camel,Chris The Camel - Gold,128.59,42.86
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Snowman Nose,Snowman Nose Shower Bomb,32,4.16
Mercury Retrograde,Mercury Retrograde Green,24.38,5.63
Mercury Retrograde,Mercury Retrograde Orange,129.6,43.2
Mercury Retrograde,Mercury Retrograde Purple,24.38,5.63
Mercury Retrograde,Mercury Retrograde Black Salt,7.2,0
,,,
,,,
,,,
Snow Fairy Crystal '20,Snow Fairy Crystal '20 - Pink Main,135.307,45.1
Snow Fairy Crystal '20,Snow Fairy Crystal '20 - Bubble Filling,58,0
Snow Fairy Crystal '20,Snow Fairy Crystal '20 - Gold Star,62.489,20.83
Tennis Ball,Tennis Ball Mix,182.24,60.75
,,,0
Rainbow Brighton,Rainbow Bright Green,19.75,6.58
Rainbow Brighton,Rainbow Bright Orange,68.31,22.77
Rainbow Brighton,Rainbow Bright Red,18.18,6.06
Rainbow Brighton,Rainbow Bright Yellow,56.37,18.79
,,,0
,,,0
Fun snow fairy,Fun snow fairy Yellow,8.25,2.75
fun snow fairy,Fun snow fairy Green,8.25,2.75
fun snow fairy,Fun snow fairy Pink,12,4
Fun Magic,Fun magic gold,8.25,2.75
Fun Magic,Fun Magic Blue,8.25,2.75
Fun Magic,Fun Magic Purple,8.25,2.75
,,,0
Party Kit - Monster Ball,Monsters' Ball Party Kit (10) - Blue,490,163.33
Party Kit - Monster Ball,Monsters' Ball Party Kit (10) - Pink Fizz,360,120
Party Kit - Monster Ball,Monsters' Ball Party Kit (10) - Pink Main,1053,351
,,,0
Goggs,Goggs Pink,111,37
,,,0
Frozen (Inc Inserts),Frozen - Dark Blue,79.35,26.45
Frozen (Inc Inserts),Frozen - Light Blue,85.905,28.64
Frozen (Inc Inserts),Frozen - Silver,7.245,2.42
,,,0
Fox,Fox - Orange,70,23.33
Fox,Fox - White,2,0.67
Abombinaball,Abombinaball - Main,136.592575,45.53
Abombinaball,Abombinaball - Blue,39.850427,13.28
Abombinaball,Abombinaball - Middlesnow,11.111111,3.7
Abombinaball,Abombinaball - Blue Spray,3.675214,0
Roller '19,Roller - White,102.86,34.29
Roller '19,Roller - Blue,15.47,5.16
Roller '19,Roller - Peach,15.31,5.1
Roller '19,Roller - Pink,16.51,5.5
Roller '19,Roller - Purple,15.23,5.08
Roller '19,Roller - Turquoise,15.29,5.1
Roller '19,Roller - Melt,10.29626,0
Space Girl,Space Girl,138.09,46.03
Space Girl,Space Girl - Spray,0.270553,0
Party Kit - Santa's Grotto,Santa's Grotto Party Kit (10) - Blue,782,260.67
Party Kit - Santa's Grotto,Santa's Grotto Party Kit (10) - Gold Salt,60,0
Party Kit - Santa's Grotto,Santa's Grotto Party Kit (10) - Green,901,300.33
Party Kit - Santa's Grotto,Santa's Grotto Party Kit (10) - Pink Salt,40,0
Party Kit - Santa's Grotto,Santa's Grotto Party Kit (10) - White Salt,20,0
Party Kit - Santa's Grotto,Santa's Grotto Party Kit (10) - XL Gold Salt,30,0
Abombinaball,Abombinaball - Yellow Spray,0.207265,0
Party Kit - Fireball,Party Kit - Fireball Orange (10),600,200
Party Kit - Fireball,Party Kit - Fireball Red (10),138,46
Party Kit - Fireball,Party Kit - Fireball Yellow (10),683,227.67
,,,0
Party Kit - Pop Art,Party Kit - Pop Art White (10),1091,363.67
Party Kit - Pop Art,Party Kit - Pop Art Red (10),297,99
Party Kit - Pop Art,Party Kit - Pop Art Yellow (10),330,110
,,,0
Party Kit Lush Pud,Party Kit Lush Pud White,290,96.67
Party Kit Lush Pud,Party Kit Lush Pud Pink,1260,420
,,,0
Dinosaur Bombshell Blue,Dinosaur Egg Blue,100,33.33
Dinosaur Bombshell Yellow,Dinosaur Egg Yellow,100,33.33
,,,0
Magic Rabbit Black Main,Magic Rabbit Black,133,44.33
Magic Rabbit Red Ribbon,Magic Rabbit Red,15,5
,,,0
Dirty Bath Bomb,Dirty - Blue,23.55,7.85
Dirty Bath Bomb,Dirty - Dark Blue,12.94,4.31
Dirty Bath Bomb,Dirty - Green,92.04,30.68
Dirty Bath Bomb,Dirty - Light Green,23.55,7.85
Dirty Bath Bomb,Dirty - Yellow,12.94,4.31
,,,0
Blazin Bad Zula Main,Blazin Bad Zula Gold,125,41.67
Blazin Bad Zula Insert,Blazin Bad Zula Insert,41.67,13.89
,,,
,,,0
Love Locket Blue Insert'21,Love Locket Blue,1.5,0.5
Love Locket Green Insert'21,Love Locket Green,1.5,0.5
Love Locket Plug'21,Love Locket Yellow Keyhole,28,9.33
Love Locket Orange Insert'21,Love Locket Orange,1.5,0.5
Love Locket'21,Love Locket Pink,160,53.33
Love Locket Yellow Insert'21,Love Locket Yellow Hearts,1.5,0.5
,,,0
Blue Gardenia Bicarb Blue,Blue Gardenia Bicarb Blue,24.61005,8.2
Blue Gardenia Salt,Blue Gardenia Salt,3.5496,0
Blue Gardenia Bicarb Yellow,Blue Gardenia Bicarb Yellow,56.44782,9.19
,,,0
Black Ninja,Black Ninja - White,93.339844,31.11
Black Ninja,Black Ninja - Red,7.910156,2.64
Black Ninja,Black Ninja Spray,6.42618,0
Roar,Roar,67.5,22.5
,,,0
Temple Of The Sky,Temple of the Sky - Blue,40.87,13.62
Temple Of The Sky,Temple of the Sky - Gold,38.77,12.92
Temple Of The Sky,Temple of the Sky - White,40.87,13.62
,,,0
Tengri,Tengri - Green,16.491892,5.5
Tengri,Tengri - Pink,72.381081,24.13
Tengri,Tengri - White,80.627027,26.88
,,,0
Flight,Flight - Blue,118.548,39.52
Flight,Flight - Green,8.325,2.78
Flight,Flight - Purple,34.965,11.66
Flight,Flight - Red Salt,3.108,0
Flight,Flight - Yellow Salt,3.108,0
,,,0
New Think Pink,Think Pink Spray,8,0
Dragon's Egg '21 - New Flat base,Dragon Egg Dots,0.3092,0
Rocket,Stars For Rocket,0.080745,0
Rocket,Lustre For Rocket,0.056604,0
Sleepy,Lustre For Sleepy,0.0045,0
Royalty,Lustre For Royalty,0.051301,0
Geode,Lustre For Geode,0.139132,0
Melusine,Lustre For Melusine,0.1,0
Love Shower Bomb,Lustre For Love,0.19,0
Pirates Of The Carragenan,Lustre For Pirates,0.000121,0
,,,0
Moon On The Stick,Moon on a stick middle,57.33585,19.11
Moon On The Stick,Moon on a stick inner,12.25125,4.08
Moon On The Stick,Moon on a stick outer,93.7629,31.25
,,,0
,,,0
,,,0
I Want A Hippopotamumus'21,I Want a Hippopotamus,78,26
I Want A Hippopotamumus'21,I Want a Hippopotamus - Stars,0.1089,0
,,,0
,,,0
Angels Delight '20,Angels Delight - Gold,4.5,1.5
Angels Delight '20,Angels Delight - Pink,82,27.33
,,,0
Bat Art '23 (Sheets),Bat Art - Black,88.75,29.58
Bat Art '23 (Sheets),Bat Art - Blue,3,1
Bat Art '23 (Sheets),Bat Art - Pink,3,1
Bat Art '23 (Sheets),Bat Art - Silver,3,1
Bat Art '23 (Sheets),Bat Art - Ink,5,0
Sugar Plum Shbomb '20,Sugar Plum Shower Bomb,39.8,5.17
Sugar Plum Shbomb '20,Sugar Plum Shower Bomb - Lustre,0.1,0
Winter Garden '20,Winter Garden - Main,78.705,27.3
Winter Garden '20,Winter Garden - Flowers,0.78,0
,,,0
,,,0
,,,0
Yoga Bom,Yoga Bomb - Orange Gold,110.6,36.87
Yoga Bom,Yoga Bomb - Green,20.6,6.87
Yoga Bom,Yoga Bomb - Purple,33.8,11.27
,,,0
Tick-Tock '20,Tick-Tock,90,30
Tick-Tock '20,Tick-Tock - Spray,5,0
,,,0
Shoot For The Stars Mini Gco,Shoot For The Stars MINI,71.5,23.83
Intergalactic Mini Gco,Intergalactic MINI,78.95,26.32
Avobath Mini Gco,Avobath MINI,83.33,27.78
Groovy Kind Of Love Mini Gco,Groovy Kind Of Love MINI,85,28.33
Snow Fairy Mini Gco,Snow Fairy MINI,82.5,27.5
,,,0
Irl,IRL White Bicarb,61.5,20.5
Irl,IRL Sandy Beach,30.6,10.2
Irl,IRL Blue Sea Insert,40.2,13.4
Irl,IRL Tropical Sun Insert,40.2,13.4
Irl,IRL Blue Melt,1,0.33
Irl,IRL Pink Melt,4.5,1.5
,,,0
Skullduggery,Skullduggery - White,103.99284,34.66
Skullduggery,Skullduggery - Red,1.185,0.4
,,,0
Pumpkin Bombshell,Pumpkin Bombshell - Orange,282,94
,,,0
Hokkaido,Hokkaido Winter Bath,86.25,28.75
,,,0
Jingle Spell,Jingle Spell,172.44,57.48
,,,0
Sinterklaas,Sinterklaas Gold,70,23.33
Sinterklaas,Sinterklaas Red,17,5.67
,,,0
Heart Beat'21,Heart Beat - Dark Red,23.33,6.77
Heart Beat'21,Heart Beat - Red,130.3,43.43
,,,0
Love Me Do'21,Love Me Do,174,58
,,,0
Humpty Dumpty,Humpty Dumpty - Blue,85.71,28.57
Humpty Dumpty Inserts,Humpty Dumpty - White Insert,30,10
Humpty Dumpty,Humpty Dumpty - Yellow (Main),133.33,44.44
Humpty Dumpty Inserts,Humpty Dumpty - Yellow (Insert),2.7,0.9
,,,
,,,
,,,
,,,
,,,
,,,
Owl And The Pussycat - Cat,Owl And The Pussycat - Blue Cat,43,14.33
Owl And The Pussycat - Boat,Owl And The Pussycat - Green Boat,120,40
Owl And The Pussycat - Owl,Owl And The Pussycat - Yellow Owl,38,12.67
,,,0
Eggy Wegg,Eggy Wegg - Pink,125,41.67
Eggy Wegg Insert,Eggy Wegg - White (Eggs),6.22,2.07
Eggy Wegg Insert,Eggy Wegg - Yellow (Eggs),1.336,0.45
Eggy Wegg,Eggy Wegg - Yellow (Insert),20.8,6.93
Follow The White Rabbit,Follow White Rabbit - Red,6.75,2.25
Follow The White Rabbit,Follow White Rabbit - Blue,2.25,0.75
Follow The White Rabbit,Follow White Rabbit - Pink,4.5,1.5
Follow The White Rabbit,Follow White Rabbit - Yellow,4.5,1.5
Follow The White Rabbit,Follow White Rabbit - White,72,24
,,,0
Mother Of Pearl,Mother of Pearl '21,157.5,52.5
Mother Of Pearl,Mother of Pearl - Melt,6.786,2.26
,,,0
Atom Heart Mother,Atom Heart Mother - Blue,123,41
Atom Heart Mother,Atom Heart Mother - Pink,23,7.67
Atom Heart Mother,Atom Heart Mother - White,24,8
Atom Heart Mother INSERT,Atom Heart White,8,2.67
,,,
Rose Gold - For Ayr New Fragrance,Rose Gold - Orange,75,25
Rose Gold - For Ayr New Fragrance,Rose Gold - Pink,84,28
Rose Gold - For Ayr New Fragrance,Rose Gold - Spray,11,3.67
,,,0
Sleeping Giant Bombshell  Top+Bottom,Sleeping Giant - Blue,124.13,41.38
Sleeping Giant Bombshell  Top+Bottom,Sleeping Giant - Pink,132.75,44.25
,,,0
Mrs Whippy,Mrs Whippy - Pink,20,6.67
Mrs Whippy,Mrs Whippy - Sugar,2,0
Mrs Whippy,Mrs Whippy - White,60,20
,,,0
Lush Bomb,Lush Bomb - Green,78.75,26.25
Lush Bomb,Lush Bomb - Yellow,78.75,26.25
,,,0
04:20PM Bath bomb,4:20pm - Green,82.5,27.5
04:20PM Bath bomb,4:20pm - Pink,82.5,27.5
,,,0
Frog Prince,Frog Prince,81.840375,27.28
,,,0
April showers purple,April showers purple,20.231,6.74
AprilShowerswhiteBicarb,AprilShowerswhiteBicarb,85.106,28.37
,,,0
Diamond Dust Green,Diamond Dust Green,56.5,18.83
Diamond Dust Pink,Diamond Dust Pink,56.5,18.83
Diamond Dust Yellow,Diamond Dust Yellow,56.5,18.83
,,,0
,,,0
Temple of the sky'21-New flatbase,Temple Of The Sky'21 - Gold,38.8,12.93
Temple of the sky'21-New flatbase,Temple Of The Sky'21 - Blue,40.9,13.63
Temple of the sky'21-New flatbase,Temple Of The Sky'21 - White,40.9,13.63
,,,0
Ickle Baby Bot '21- New Moulds,Ickle Baby Bot '21- New moulds,78,26
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
TBH 365,TBH 365 - Gold,95.85,31.95
TBH 365,TBH 365 - Orange,11.98125,3.99
TBH 365,TBH 365 - Red,23.9625,7.99
TBH 365,TBH 365 - White,24.975,8.33
TBH 365,TBH 365 - Yellow,11.98125,3.99
,,,0
WHITE NOISE,White Noise Blue,39,13
WHITE NOISE,White Noise Green,39,13
WHITE NOISE,White Noise Silver,62,20.67
WHITE NOISE,White Noise White,28,9.33
,,,0
Twilight'21 V2 Pink,Twilight Pink '21,99.789,33.26
Twilight'21 V2 Turqoise,Twilight Turquoise '21,74.211,24.74
,,,0
Peau De Paris Bombshell Blue Bottom,Peau-Paris Blue Bottom,125.2,41.73
Peau De Paris Bombshell Blue Top,Peau-Paris Blue Top,125.2,41.73
Peau De Paris Bombshell Green Bottom,Peau-Paris Green Bottom,125.2,41.73
Peau De Paris Bombshell Green Top,Peau-Paris Green Top,125.2,41.73
Peau De Paris Bombshell Pink Bottom,Peau-Paris Pink Bottom,125.2,41.73
Peau De Paris Bombshell Pink Top,Peau-Paris Pink Top,125.2,41.73
Peau De Paris Bombshell Yellow Bottom,Peau-Paris Yellow Bottom,125.2,41.73
Peau De Paris Bombshell Yellow Top,Peau-Paris Yellow Top,125.2,41.73
,,,0
Pumpkin Pumpkin'22,Pumpkin - Green,2.4,0.8
Pumpkin Pumpkin'22,Pumpkin - Orange,72,24
Pumpkin Pumpkin'22,Pumpkin - Yellow,27,9
,,,
Ghostie'22,Ghostie Blue,9,3
Ghostie'22,Ghostie Pink,9,3
Ghostie'22,Ghostie White,94,31.33
Ghostie'22,Ghostie Purple,9,3
,,,
,,,
,,,
,,,
Butterbear'21(Pink),Butterbear'21 - Pink,83,27.67
Sleepy Bear '22,Sleepy Bear '22 - Topping,0.5,0
Sleepy Bear '22,Sleepy Bear '22,83,27.67
Snowman Dreaming'21,Snowman dreaming '21- White,62.3,20.77
Snowman Dreaming'21,Snowman dreaming '21- Blue,6.9,2.3
Snowman Dreaming'21,Snowman dreaming '21- Pink,6.9,2.3
Snowman Dreaming'21,Snowman dreaming '21- Purple,6.9,2.3
Snowman Dreaming'21,Snowman dreaming '21- Yellow,6.9,2.3
Snowball Bath Bomb'21,Snowball '21- White,136,45.33
Snowball Bath Bomb'21,Snowball '21- Blue,38,12.67
You Shall Go To The Ball'21,You shall go to the ball - Pink,89,29.67
You Shall Go To The Ball'21,You shall go to the ball - Yellow,45,15
You Shall Go To The Ball'21,You shall go to the ball - Spray,5,0
Orange Pop Bath Bomb'21,Orange Pop - Orange,138,46
Orange Pop Bath Bomb'21,Orange Pop - Green,7,2.33
Orange Pop Bath Bomb'21,Orange Pop - Red,23,7.67
Snow Fairy BALL '22,Snow Fairy '22- White Main,50.9,16.97
Snow Fairy BALL '22,Snow Fairy '22-Blue Snowflake,27.41,9.14
Snow Fairy BALL '22,Snow Fairy '22- Pink,58.4,19.47
Snow Fairy BALL '22,Snow Fairy '22- White Snowflake,27.41,9.14
Shoot For Stars '23,Shoot For Stars '23,130.5,43.5
Shoot For Stars '23,Star,39.72,0
Jingle Bells'21,Jingle bells '21 - Blue,7.37,0
Jingle Bells'21,Jingle bells '21- Red,17,5.67
Jingle Bells'21,Jingle bells '21 - White,118.42,39.47
Hey Hollywood '21,Hey Hollywood 21- Berries Red,4,1.33
Hey Hollywood '21,Hey Hollywood '21 - Green,87,29
Hey Hollywood '21,Hey Hollywood '21- Blue Insert,41,13.67
Hey Hollywood '21,Hey Hollywood '21- Pink Insert,41,13.67
Hey Hollywood '21,Hey Hollywood 21- Spray,8,0
Golden Pudding '21,Golden pudding '21 - Gold,74,24.67
Golden Pudding '21,Golden pudding '21 - White,21,7
Golden Pudding '21,Golden pudding '21 - Orange insert,40,13.33
Golden Pudding '21,Golden pudding '21 - Pink insert,40,13.33
Golden Pudding '21,Golden pudding '21 - Spray,7,0
Rudolph nose'21,Rudolph nose'21 - Spray,1.44,0
Rudolph nose'21,Rudolph nose'21,43.32,5.63
Slilver Bells shower bomb'21,Silver Bells shower bomb'21 spray,4,0
Slilver Bells shower bomb'21,Silver Bells shower bomb'21,68.86,8.43
Santa'S Magic Sleight'21,Santa's Magic Sleight '21 - White Beard,1.5,0.5
Santa'S Magic Sleight'21,Santa's Magic Sleight '21- Red,30,10
Santa'S Magic Sleight'21,Santa's Magic Sleight '21 - White Bear,32,10.67
Santa'S Magic Sleight'21,Santa's Magic Sleight '21- Yellow,143,47.67
Snow Fairy Lights '22,Snow Fairy Lights '22,146.25,48.75
Snow Fairy Lights'22 plug,Snow Fairy Lights'22 plug,31,10.33
Snow Fairy Lights '22,Snow Fairy Lights '22 BLU Confetti,3.9,
Snow Fairy Lights '22,Snow Fairy Lights '22 GREEN Confetti,3.9,
Snow Fairy Lights '22,Snow Fairy Lights '22 ORANGE Confetti,4.2,
Snow Fairy Lights '22,Snow Fairy Lights '22 PINK Confetti,15.2,
Snow Fairy Lights '22,Snow Fairy Lights '22 YELLOW Confetti,4.2,
Snow Fairy Lights '22,Snow Fairy Lights'22 - LID - lustre,0.00975,
Cinders'21,Cinders '21- Main,90.32,26.49
Cinders'21,Cinders '21- Orange Salt Mix,7,0
Cinders'21,Cinders '21- Red Salt Mix,7,0
Cinders'21,Popping Candy-Vegan,2.8,0
,,,0
Sleepy bath bomb'21,Sleepy bath bomb'21 Black,25.3,8.43
Sleepy bath bomb'21,Sleepy bath bomb'21 Moons,1.1,0.37
Sleepy bath bomb'21,Sleepy bath bomb'21 Stars,1.2,0.4
Sleepy bath bomb'21,Sleepy bath bomb'21 Yellow,12,4
Sleepy bath bomb'21,Sleepy bath bomb'21 Main,108.9,36.3
,,,0
Baby Blue,Baby Blue,45,15
The Sicilian,The Sicilian,174,58
Lakes Bath Bomb,The Lakes - Blue,84.7,28.23
Lakes Bath Bomb,The Lakes - Green,42.4,14.13
Lakes Bath Bomb,The Lakes - Pink,42.4,14.13
Snow Fairy'21,Lustre for Snow Fairy,0.03643,0.01
,,,0
Rangoli Dreams '22,Rangoli Dreams '22 Orange,37.56,12.52
Rangoli Dreams '22,Rangoli Dreams '22 Red,37.56,12.52
Rangoli Dreams '22,Rangoli Dreams '22 Yell,37.56,12.52
Rangoli Dreams '22,Rangoli Dreams '22 Spray,5,0
,,,0
Summer Blues,Summer Blues,174,58
,,,0
,,,
,,,
,,,
,,,
,,,
Black rose'21,Black rose '21 Black,124,41.33
Black rose'21,Black rose '21 Purple,38,12.67
Black rose'21,Black rose '21 spray,8,0
Toby's magic cow,Toby's magic cow Blue,10.5,3.5
Toby's magic cow,Toby's magic cow Pink,10.5,3.5
Toby's magic cow,Toby's magic cow White,61.5,20.5
Toby's magic cow,Toby's magic cow Purple,10.5,3.5
Toby's magic cow,Toby's magic cow Yellow,10.5,3.5
GRANNY  TAKES THE DIP,Granny Takes Green,16,5.33
GRANNY  TAKES THE DIP,Granny Takes Pink,75,25
GRANNY  TAKES THE DIP,Granny Takes Red,29,9.67
GRANNY  TAKES THE DIP,Granny Takes Blue,42,14
Unicorn Poop Bath bomb,Unicorn Poop Pink,70,23.33
Unicorn Poop Bath bomb,Unicorn Poop Green,11,3.67
Unicorn Poop Bath bomb,Unicorn Poop Purple,11,3.67
Unicorn Poop Bath bomb,Unicorn Poop White,41,13.67
Unicorn Poop Bath bomb,Unicorn Poop Yellow,11,3.67
Golden Pudding '21 AF,Golden Pudding '21 AF Gold,74,24.67
Golden Pudding '21 AF,Golden Pudding '21 AF Orange,40,13.33
Golden Pudding '21 AF,Golden Pudding '21 AF Pink,40,13.33
Golden Pudding '21 AF,Golden Pudding '21 AF White,21,7
Golden Pudding '21 AF,Golden Pudding '21 AF Spray,7,2.33
,,,0
Enchanter '21,Enchanter '21 Orange,46.2,15.4
Enchanter '21,Enchanter '21 Pink,75.6,25.2
Enchanter '21,Enchanter '21 Yellow,46.2,15.4
,,,0
Hot java,Hot java,167.29,55.76
,,,0
Luxe Bath Bomb,Luxe Bath Bomb Gold,51.5,17.17
Luxe Bath Bomb,Luxe Bath Bomb Purple,73.25,24.42
Luxe Bath Bomb,Luxe Bath Bomb Green,16,5.33
Luxe Bath Bomb,Luxe Bath Bomb Pink,16,5.33
,,,0
THE EXPERIMENTER,Experimenter '21 - Blue,62.7,20.9
THE EXPERIMENTER,Experimenter '21 - Gold,31.35,10.45
THE EXPERIMENTER,Experimenter '21 - Pink,31.35,10.45
THE EXPERIMENTER,Experimenter '21 - White,31.35,10.45
,,,0
,,,0
Mr Loba Loba '22,Mr Loba Loba '22 - Red,86,28.67
Mr Loba Loba '22,*Hearts - Red Edible,0.1,
,,,0
Lovebug '22,Lovebug '22 BLUE,39.38,13.13
Lovebug '22,Lovebug '22 PINK,87.9,29.3
Lovebug '22,Lovebug '22 YELLOW,7.88,2.63
,,,0
BigAubergineEnergy '22,BigAubergineEnergy - Blue,92,30.67
BigAubergineEnergy '22,BigAubergineEnergy - Green,29.5,9.83
BigAubergineEnergy '22,BigAubergineEnergy - Purple,177,59
BigAubergineEnergy '22,BigAubergineEnergy - Purple Tip,27,9
,,,0
Think Pink'21,Think Pink '21 PINK,47.63,15.88
Think Pink'21,Think Pink '21 SILVER,47.63,15.88
Think Pink'21,Think Pink '21 VIVID,75,25
Think Pink'21,Think Pink '21 SPRAY,8,
,,,0
Perle De Sel,Perle De Sel '21 WHITE,89.19,29.73
Perle De Sel,Perle De Sel '21 BLUE,34.61,11.54
Perle De Sel,Perle De Sel '21 GREEN,34.61,11.54
Perle De Sel,Perle De Sel '21 DECO,3.34,
,,,0
Lucky tiger,Lucky tiger,171,57
Lucky tiger,Lucky Tiger Bath Bomb Mix - Spray,7.98,
,,,0
Elephant In The TeaRoom'22,ElephantInTeaRoom '22 - Blue,94,31.33
Elephant In The TeaRoom'22,ElephantInTeaRoom '22 - Pink,94,31.33
,Mix - White Cloud,,0
,,,0
,,,0
,,,0
,,,0
Jasmine'22,Jasmine'22 - Mix - White,106,35.33
Jasmine'22,Jasmine'22 - Mix - Tapioca,0.5,
,,,0
Rose Gold'22,Rose Gold'22 - Mix - Orange,75,25
Rose Gold'22,Rose Gold'22 - Mix - Pink,84,28
Rose Gold'22,Rose Gold'22 - Mix - Decor,11,3.67
,,,0
The Ex factor,The Ex factorBLUE,103.74,34.58
The Ex factor,The Ex factorRED,5.46,1.82
,,,0
!The Flying Carrot '22,!Flying Carrot Green '22,5,1.67
!The Flying Carrot '22,!Flying CarrotOrange '22,113,37.67
!The Flying Carrot '22 Rabbit,!Flying CarrotYellow '22,33,11
,,,0
!Disco Duck '22,!Disco Duck Green '22,31,10.33
!Disco Duck '22,!Disco Duck Yellow '22,64.5,21.5
,,,0
Golden Egg '23 YELLOW,Golden Egg '23 YELLOW,34,11.33
Golden Egg '23 PINK,Golden Egg '23 PINK,47,15.67
Golden Egg '23 MELT,Golden Egg '23 MELT,6,
,,,0
,,,0
Golden Egg Large'22,Golden Egg Large'22- White,100,33.33
Golden Egg Large'22,Golden Egg Large'22 - Yellow,73,24.33
Golden Egg Large'22,Golden Egg Large'22 - Spray,7.5,2.5
,,,0
Light in the Night'22,Light The Night '22 BLU,17,5.67
Light in the Night'22,Light The Night '22 GRE,17,5.67
Light in the Night'22,Light The Night '22 PUR,7.5,2.5
Light in the Night'22,Light The Night '22 YEL,55,18.33
Light in the Night'22,Light The Night'22 SPRAY,7,2.33
,,,0
Marshmallow ' 22,MarshmallowWorld'22BLUE,4.94,1.65
Marshmallow ' 22,MarshmallowWorld'22PINK,127.13,42.38
Marshmallow ' 22,MarshmallowWorld'22WHITE,27.97,9.32
Marshmallow ' 22,MarshmallowWorld'22YELLO,4.94,1.65
,,,0
!Flamingo Egg '22,Flamingo Egg Blue,87.5,29.17
!Flamingo Egg '22,Flamingo Egg Pink,75.4,25.13
!Flamingo Egg '22,Flamingo Egg - SALT MIX,4.5,0
,,,0
The Imperial Egg,The Imperial Egg Spray,7,2.33
The Imperial Egg,The Imperial Egg Main,41,13.67
The Imperial Egg,The Imperial Egg Blue,40,13.33
,,,0
Hanami,Sakura Flowers,1.5,0.5
Hanami,Mugwort Dried LeafWhole,0.2,0.07
Hanami,Hanami Bath Bomb PINK,10.08,3.36
Hanami,Hanami Bath Bomb WHITE,25.01,8.34
,,,0
,,,0
,,,0
,,,0
Orangutan bath bomb,Orangutan Bath Bomb '22,80,26.67
Celebrate Confetti BLUE,Celebrate Confetti BLUE,2.94,0.98
Celebrate Confetti ORA,Celebrate Confetti ORA,2.94,0.98
Celebrate Confetti PINK,Celebrate Confetti PINK,2.94,0.98
,,,0
All That Jas '22,All That Jas '22,167.29,55.76
,,,0
Softy '22,Softy '22,167.29,55.76
,,,0
Big foot'22,Big Foot Blue,51.5,17.17
Big foot'22,Big Foot Pink,51.5,17.17
,,,0
