Product Name,Product / Color,System (G),System (Citric)
Ylang Song Bombshell,Ylang Song - Green,25.3219,8.44
Ylang Song Bombshell,Ylang Song - White,124.6615,41.55
,,,0
Fresh Milky Flower Giant Bombshell,Fresh milky top,142.86,47.62
Fresh Milky Flower Giant Bombshell,Fresh milky bottom,136.36,45.45
,,,0
Herbal Green Tea Giant Bombshell,Herbal bombshell top,142.86,47.62
Herbal Green Tea Giant Bombshell,Herbal bombshell bottom,142.86,47.62
,,,0
Floral Bomb shell,Floral bomb shell top,142.86,47.62
Floral Bomb Shell,Floral bomb shell bottom,142.86,47.62
,,,0
KArma Yantra spa,Karma Yantra Spa orange,119.62,39.87
Karma Yantra Spa,Karma Yantra Spa Yellow,4.12,1.37
,,,0
Sleepy,Sleepy ShowerBomb,42.079573,5.47
,,,0
,,,0
,,,0
,,,0
Incredible Mum,Incredible Mum pink,85.714,28.57
Incredible Mum,Incredible Mum orange,85.714,28.57
Incredible Mum,Incredible Mum purple,10.714,3.57
Madame President,Madame President - Blue,55.1,18.37
Madame President,Madame President - Red,94.33,31.44
Madame President,Madame President - Gold,16.83,5.61
Madame President,Madame President - White,35.7,11.9
Madame President,Madame President - Spray,1,0
,,,0
Satsumo Santa,Satsumo Santa - Main,150.428,50.14
Satsumo Santa,Satsumo Santa - White,16.712,5.57
Bombardino,Bombardino - White,32,10.67
Bombardino,Bombardino - Yellow,48,16
,,,0
,,,0
,,,0
,,,0
Golden slumber party kit spa,Golden Slumbers Spa Party Kit,3460,1153.33
,,,0
,,,0
,,,0
,,,0
Geode Party Kit (10),Geode Party Kit (10) Gold,1235.85,411.95
Geode Party Kit (10),Geode Party Kit (10) Gold Salt,110,0
Geode Party Kit (10),Geode Party Kit (10) Pink,247.5,82.5
Geode Party Kit (10),Geode Party Kit (10) Purple Salt,110,0
Big Blue Spa'21,Big Blue Spa Salt,6.55,0
Big Blue Spa'21,Big Blue Spa Blue,65.9175,27.58
Big Blue Spa'21,Big Blue Spa White,6.6,3.3
Golden Egg Insert,Golden Egg '21 - Insert,50.895,16.97
Twilight Party Kit,Twilight Party Kit Pink,4500,1500
Twilight Party Kit,Twilight Party Kit Turquoise,3000,1000
Dragon Egg Party Kit,Dragon Egg Party Kit Gold,1500,500
Dragon Egg Party Kit,Dragon Egg Party Kit Orange,1800,600
Dragon Egg Party Kit,Dragon Egg Party Kit White,4800,1600
Intergalactic Party Kit,Intergalactic Party Kit Blue,1300,433.33
Intergalactic Party Kit,Intergalactic Party Kit Red,180,60
Intergalactic Party Kit,Intergalactic Party Kit White,,0
Intergalactic Party Kit,Intergalactic Party Kit Yellow,180,60
Big blue Party Kit (10),Big Blue Party Kit (10) Blue,1366.29,571.71
Big blue Party Kit (10),Big Blue Party Kit (10) White,136.8,68.4
Sex Bomb Party Kit (10),Sex Bomb Party Kit (10) Pink,1350,450
Sex Bomb Party Kit (10),Sex Bomb Party Kit (10) Purple,450,150
Superdad,Superdad Blue,123.3,41.1
Superdad,Superdad Red,12.6,4.2
Superdad,Superdad Yellow,2.9,0.97
IckleBot Party Kit (20),IckleBot Party Kit (20),980,326.67
Butterball Party Kit (10),Butterball Party Kit (10),801.136,278.56
Turtle Jelly Bomb,Turtle - Green Main,80.2081,26.74
Turtle Jelly Bomb,Turtle - Blue Spots,24.357072,8.12
Turtle Jelly Bomb,Turtle - Insert,26.386828,8.8
Turtle Immersion Jelly Bomb,Mama Turtle Blue Spots,46.75,15.58
Turtle Immersion Jelly Bomb,Mama Turtle Green Main,141,47
Turtle Immersion Jelly Bomb,Mama Turtle Insert,49.75,16.58
,Turtle Kit Main,80.20181,26.73
,Turtle Kit Blue Spots,24.357072,8.12
,Turtle Kit Insert,26.386828,8.8
,Exp Blue Kit,37.95,12.65
,Exp Gold Kit,37.95,12.65
,Exp Pink Kit,37.95,12.65
,Exp Purple Kit,13.2,4.4
,Exp White Kit,37.95,12.65
The Big Sleep,The big sleep Main,108.362,36.12
,The big sleep dot,16.18,5.39
,The big sleep insert,40.89,13.63
Secret Arts,Secret arts main,103.448,34.48
,Secret arts insert,34.5,11.5
,Secret arts dot,18,6
,,,
,,,
,,,
Santa Gift Top,,102,34
,,75,25
Santa Gift Bottom,,194.7,64.9
,,5.35,1.78
,,5.4,1.8
Cheery Christmas,Cheery Christmas White,22.5,7.5
,Cheery Christmas Pink,75,25
,Cheery Christmas Blue,7.5,2.5
Princess Gift Top,Princess Top Blue,25.8,8.6
,Princess Top Yellow,115.65,38.55
,Princess Top Orange,2.4,0.8
Princess Gift Bottom,Princess Bottom Pink,187.5,62.5
,,,0
,,,0
Seaweed Giant Bombshell,Seaweed Giant Bombshell - Bottom,111.11,37.04
Seaweed Giant Bombshell,Seaweed Giant Bombshell - Top,111.11,37.04
,,,0
The Worlds Smallest Disco'21,World's Smallest Disco '21 - Black,150,50
The Worlds Smallest Disco (Dots) Pink,World's Smallest Disco '21 - Pink,3.571,1.19
The Worlds Smallest Disco (Dots) Orange,World's Smallest Disco '21 - Orange,3.571,1.19
